REGION,PROVINCE,POP DENSITY,NO. OF PRIVATE FACILITIES,NO. OF GOVERNMENT FACILITIES
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,123,3,97
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),CITY OF COTABATO,"1,847",28,51
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),LANAO DEL SUR,79,19,230
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),MAGUINDANAO,135,46,313
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,220,2,172
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,121,1,99
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,60,20,208
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,28,2,160
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,166,36,217
CORDILLERA ADMINISTRATIVE REGION (CAR),CITY OF BAGUIO,"6,370",87,29
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,79,10,228
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,70,34,162
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,66,6,171
MIMAROPA REGION,CITY OF PUERTO PRINCESA,129,36,75
MIMAROPA REGION,MARINDUQUE,251,5,63
MIMAROPA REGION,OCCIDENTAL MINDORO,90,23,170
MIMAROPA REGION,ORIENTAL MINDORO,214,53,464
MIMAROPA REGION,PALAWAN,64,20,381
MIMAROPA REGION,ROMBLON,201,13,231
NATIONAL CAPITAL REGION (NCR),CITY OF CALOOCAN,"29,777",160,73
NATIONAL CAPITAL REGION (NCR),CITY OF LAS PIÑAS,"18,547",71,39
NATIONAL CAPITAL REGION (NCR),CITY OF MAKATI,"29,189",169,29
NATIONAL CAPITAL REGION (NCR),CITY OF MALABON,"24,222",40,26
NATIONAL CAPITAL REGION (NCR),CITY OF MANDALUYONG,"45,830",91,39
NATIONAL CAPITAL REGION (NCR),CITY OF MANILA,"73,920",341,83
