Facility Name,Health Facility Type
AKBAR RURAL HEALTH UNIT,Rural Health Unit
AKBAR RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
CADDAYAN BARANGAY HEALTH STATION,Barangay Health Station
LINONGAN BARANGAY HEALTH STATION,Barangay Health Station
LOWER BATO-BATO BARANGAY HEALTH STATION,Barangay Health Station
MANGALUT BARANGAY HEALTH STATION,Barangay Health Station
MANGUSO BARANGAY HEALTH STATION,Barangay Health Station
PAGUENGAN BARANGAY HEALTH STATION,Barangay Health Station
SEMUT BARANGAY HEALTH STATION,Barangay Health Station
UPPER BATO-BATO BARANGAY HEALTH STATION,Barangay Health Station
UPPER SINANGKAPAN BARANGAY HEALTH STATION,Barangay Health Station
AL-BARKA RURAL HEALTH UNIT,Rural Health Unit
BATO-BATO BARANGAY HEALTH STATION,Barangay Health Station
CAMBUG BARANGAY HEALTH STATION,Barangay Health Station
KAILIH BARANGAY HEALTH STATION,Barangay Health Station
KUHON LENNUH BARANGAY HEALTH STATION,Barangay Health Station
AWE COMMUNITY LYING IN CLINIC,Birthing Home
BA-AS BARANGAY HEALTH STATION,Barangay Health Station
BAUNGOS BARANGAY HEALTH STATION,Barangay Health Station
BOHENANGE BARANGAY HEALTH STATION,Barangay Health Station
BULINGAN BARANGAY HEALTH STATION,Barangay Health Station
CAMPO UNO BARANGAY HEALTH STATION,Barangay Health Station
DANIT PUNTUCAN BARANGAY HEALTH STATION,Barangay Health Station
"DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.",Hospital
KULAY BATO BARANGAY HEALTH STATION,Barangay Health Station
LAMITAN CITY HEALTH OFFICE BIRTHING FACILITY,Birthing Home
LAMITAN DISTRICT HOSPITAL,Hospital
LAMITAN EAST RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LAMITAN HEALTH SERVICES OFFICE RURAL HEALTH UNIT,Rural Health Unit
LAMITAN RURAL HEALTH UNIT-EAST,Rural Health Unit
LAMITAN RURAL HEALTH UNIT-WEST,Rural Health Unit
LAMITAN WEST RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LEBBUH BARANGAY HEALTH STATION,Barangay Health Station
LIMO-OK BIRTHING FACILITY,Birthing Home
LIMO-OK HEALTH CENTER,Barangay Health Station
MALINIS BARANGAY HEALTH STATION BIRTHING HOME,Birthing Home
MATATAG BARANGAY HEALTH STATION,Barangay Health Station
PARANGBASAK BARANGAY HEALTH STATION,Barangay Health Station
PERPETUAL HELP LYING- IN CLINIC,Birthing Home
SANTA CLARA BARANGAY HEALTH STATION,Barangay Health Station
TANDUNG AHAS BARANGAY HEALTH STATION,Barangay Health Station
UBIT BARANGAY HEALTH STATION,Barangay Health Station
ULAME BARANGAY HEALTH STATION,Barangay Health Station
BASAKAN BARANGAY HEALTH STATION,Barangay Health Station
HADJI MOHAMMAD AJUL RURAL HEALTH UNIT,Rural Health Unit
LANGIL BARANGAY HEALTH STATION,Barangay Health Station
PINTASAN BARANGAY HEALTH STATION,Barangay Health Station
SERONGGON BARANGAY HEALTH STATION,Barangay Health Station
TUBURAN PROPER BARANGAY HEALTH STATION,Barangay Health Station
HADJI MUHTAMAD RURAL HEALTH UNIT,Rural Health Unit
HADJI MUHTAMMAD RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
BULAN-BULAN BARANGAY HEALTH STATION,Barangay Health Station
BULANZA BARANGAY HEALTH STATION,Barangay Health Station
CALAYAN BARANGAY HEALTH STATION,Barangay Health Station
CANIBUNGAN BARANGAY HEALTH STATION,Barangay Health Station
LANTAWAN RURAL HEALTH UNIT,Rural Health Unit
MATARLING HEALTH CENTER,Rural Health Unit
MATARLING RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PARIAN BAUNOH BARANGAY HEALTH STATION,Barangay Health Station
SWITCH YAKAL BARANGAY HEALTH STATION,Barangay Health Station
TAIRAN HEALTH CENTER,Barangay Health Station
UPPER MANGGAS MATERNAL HOME,Barangay Health Station
BATUNGAL BARANGAY HEALTH STATION,Barangay Health Station
MALUSO RURAL HEALTH UNIT,Rural Health Unit
MALUSO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
SAMAL VILLAGE BARANGAY HEALTH STATION,Barangay Health Station
TOWNSITE BARANGAY HEALTH STATION,Barangay Health Station
BACUNG BARANGAY HEALTH STATION,Barangay Health Station
BASAK BARANGAY HEALTH STATION,Barangay Health Station
BULI-BULI BARANGAY HEALTH STATION,Barangay Health Station
ETTUB-ETTUB BARANGAY HEALTH STATION,Barangay Health Station
GUIONG BARANGAY HEALTH STATION,Barangay Health Station
KAUM-AIR BARANGAY HEALTH STATION,Barangay Health Station
LIBUG BARANGAY HEALTH STATION,Barangay Health Station
LUKKETON BARANGAY HEALTH STATION,Barangay Health Station
LUUK-BAIT BARANGAY HEALTH STATION,Barangay Health Station
MANGAL BARANGAY HEALTH STATION,Barangay Health Station
MEBAK BARANGAY HEALTH STATION,Barangay Health Station
SAHAYA BOHE BATO BARANGAY HEALTH STATION,Barangay Health Station
SAPAH BULAK BARANGAY HEALTH STATION,Barangay Health Station
SUMISIP CENTRAL BARANGAY HEALTH STATION,Barangay Health Station
SUMISIP DISTRICT HOSPITAL,Infirmary
SUMISIP RURAL HEALTH UNIT,Rural Health Unit
SUMISIP RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
TIKUS BARANGAY HEALTH STATION,Barangay Health Station
TONGSENGAL BARANGAY HEALTH STATION,Barangay Health Station
BOLOH-BOLOH BARANGAY HEALTH STATION,Barangay Health Station
BUKUT-UMUS BARANGAY HEALTH STATION,Barangay Health Station
SULLOH BARANGAY HEALTH STATION,Barangay Health Station
TABUAN-LASA RURAL HEALTH UNIT,Rural Health Unit
TUBUAN LASA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
BADJA HEALTH CENTER,Rural Health Unit
BOHE LEBBUNG BARANGAY HEALTH STATION,Barangay Health Station
LIMBU UPAS BARANGAY HEALTH STATION,Barangay Health Station
TIPO-TIPO MAIN HEALTH CENTER,Barangay Health Station
TIPO-TIPO MUNICIPAL HEALTH CENTER,Rural Health Unit
TUBURAN RURAL HEALTH UNIT,Rural Health Unit
TUBURAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
UNGKAYA PUKAN RURAL HEALTH UNIT,Rural Health Unit
UNGKAYA PUKAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
ACCUSAFE DIAGNOSTIC LABORATORY,General Clinical Laboratory
BAGUA I BARANGAY HEALTH STATION,Barangay Health Station
BAGUA II BARANGAY HEALTH STATION,Barangay Health Station
BAGUA III BARANGAY HEALTH STATION,Barangay Health Station
BAGUA LYING-IN CLINIC,Birthing Home
BAGUA MOTHER BARANGAY HEALTH STATION,Barangay Health Station
BANGSAMORO DOCTORS HOSPITAL,Hospital
BANGSAMORO DOCTORS HOSPITAL (COTABATO SPECIALIST HOSPITAL),Hospital
BARMM MINISTRY OF HEALTH,Center for Health Development
BUNTIS BIRTHING HOME CLINIC,Birthing Home
CIRCLEMED DIAGNOSTIC CENTER,General Clinical Laboratory
COTABATO CITY BAI AYESHA GUIANI-ROSS BIRTHING CLINIC,Birthing Home
COTABATO CITY OFFICE ON HEALTH SERVICES BIRTHING CLINIC,Birthing Home
COTABATO CITY OFFICE ON HEALTH SERVICES BIRTHING CLINIC,Rural Health Unit
COTABATO CITY ST. EUGENE DE MAZENOD BIRTHING CLINIC,Birthing Home
"COTABATO DOCTORS' CLINIC, INC.",General Clinical Laboratory
"COTABATO EYE, EAR, NOSE, THROAT SPECIALISTS, (CENTS)",Ambulatory Surgical Clinic
COTABATO POLYMEDIC & DIAGNOSTIC CENTER INC.,General Clinical Laboratory
"COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION, INCORPORATED",Hospital
COTABATO REGIONAL & MEDICAL CENTER,Drug Testing Laboratory
COTABATO REGIONAL AND MEDICAL CENTER,Hospital
COTABATO REGIONAL AND MEDICAL CENTER (CARTRIDGE - BASED PCR),COVID-19 Testing Laboratory
COTABATO REGIONAL AND MEDICAL CENTER (RT-PCR),COVID-19 Testing Laboratory
COTABATO REGIONAL MEDICAL CENTER (CRMC) BUCAS CENTER,Bagong Urgent Care and Ambulatory Service
DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY,General Clinical Laboratory
"DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY, INC.",Drug Testing Laboratory
DOC SWEET'S MATERNAL CARE & LYING-IN CLINIC,Birthing Home
DPOCI BIRTHING HOME,Birthing Home
DR. MOHAMADSHAMIR ABPI TIANG AMBULATORY SURGICAL CLINIC,Ambulatory Surgical Clinic
EROS MEDICAL CLINIC,Infirmary
"HEALTH CARE DIAGNOSTIC LABORATORIES, INC.",Drug Testing Laboratory
"HEALTHCARE DIAGNOSTIC LABORATORIES, INC.",General Clinical Laboratory
"JAPAL J. GUIANI, JR. HEALTH AND BIRTHING CLINIC",Birthing Home
JL DIALMED TRADING CO.,Dialysis Clinic
KALANGANAN I BARANGAY HEALTH STATION,Barangay Health Station
KALANGANAN II BARANGAY HEALTH STATION,Barangay Health Station
KALANGANAN MOTHER BARANGAY HEALTH STATION,Barangay Health Station
"MOTHER FRANCISCA BIRTHING HOME, INC.",Birthing Home
"NEPHROTECH DIALYSIS & DIAGNOSTIC CENTER, INC.",Dialysis Clinic
"NOTRE DAME HOSPITAL AND SIENA COLLEGE OF COTABATO, INC.",Hospital
PHILIPPINE RED CROSS COTABATO CITY - MAGUINDANAO MOLECULAR LABORATORY,COVID-19 Testing Laboratory
PHILIPPINE RED CROSS-COTABATO  CHAPTER,Blood Service Facility
POBLACION I BARANGAY HEALTH STATION,Barangay Health Station
POBLACION II BARANGAY HEALTH STATION,Barangay Health Station
POBLACION IV BARANGAY HEALTH STATION,Barangay Health Station
POBLACION IX BARANGAY HEALTH STATION,Barangay Health Station
POBLACION MOTHER BARANGAY HEALTH STATION,Barangay Health Station
POBLACION V BARANGAY HEALTH STATION,Barangay Health Station
POBLACION VI BARANGAY HEALTH STATION,Barangay Health Station
POBLACION VII BARANGAY HEALTH STATION,Barangay Health Station
POBLACION VIII BARANGAY HEALTH STATION,Barangay Health Station
PROCARES DIAGNOSTICS LABORATORY,General Clinical Laboratory
ROSARY HEIGHTS I BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS II BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS III BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS IV BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS IX BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION A,Barangay Health Station
ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION B,Barangay Health Station
ROSARY HEIGHTS V BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS VI BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS VII BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS VIII BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS X BARANGAY HEALTH STATION A,Barangay Health Station
ROSARY HEIGHTS X BARANGAY HEALTH STATION B,Barangay Health Station
ROSARY HEIGHTS XI BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS XII BARANGAY HEALTH STATION,Barangay Health Station
ROSARY HEIGHTS XIII BARANGAY HEALTH STATION,Barangay Health Station
