Facility_Name,Ownership_Type
AKBAR RURAL HEALTH UNIT,Government
AKBAR RURAL HEALTH UNIT BIRTHING HOME,Government
CADDAYAN BARANGAY HEALTH STATION,Government
LINONGAN BARANGAY HEALTH STATION,Government
LOWER BATO-BATO BARANGAY HEALTH STATION,Government
MANGALUT BARANGAY HEALTH STATION,Government
MANGUSO BARANGAY HEALTH STATION,Government
PAGUENGAN BARANGAY HEALTH STATION,Government
SEMUT BARANGAY HEALTH STATION,Government
UPPER BATO-BATO BARANGAY HEALTH STATION,Government
UPPER SINANGKAPAN BARANGAY HEALTH STATION,Government
AL-BARKA RURAL HEALTH UNIT,Government
BATO-BATO BARANGAY HEALTH STATION,Government
CAMBUG BARANGAY HEALTH STATION,Government
KAILIH BARANGAY HEALTH STATION,Government
KUHON LENNUH BARANGAY HEALTH STATION,Government
AWE COMMUNITY LYING IN CLINIC,Private
BA-AS BARANGAY HEALTH STATION,Government
BAUNGOS BARANGAY HEALTH STATION,Government
BOHENANGE BARANGAY HEALTH STATION,Government
BULINGAN BARANGAY HEALTH STATION,Government
CAMPO UNO BARANGAY HEALTH STATION,Government
DANIT PUNTUCAN BARANGAY HEALTH STATION,Government
"DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.",Private
KULAY BATO BARANGAY HEALTH STATION,Government
LAMITAN CITY HEALTH OFFICE BIRTHING FACILITY,Government
LAMITAN DISTRICT HOSPITAL,Government
LAMITAN EAST RURAL HEALTH UNIT BIRTHING HOME,Government
LAMITAN HEALTH SERVICES OFFICE RURAL HEALTH UNIT,Government
LAMITAN RURAL HEALTH UNIT-EAST,Government
LAMITAN RURAL HEALTH UNIT-WEST,Government
LAMITAN WEST RURAL HEALTH UNIT BIRTHING HOME,Government
LEBBUH BARANGAY HEALTH STATION,Government
LIMO-OK BIRTHING FACILITY,Government
LIMO-OK HEALTH CENTER,Government
MALINIS BARANGAY HEALTH STATION BIRTHING HOME,Government
MATATAG BARANGAY HEALTH STATION,Government
PARANGBASAK BARANGAY HEALTH STATION,Government
PERPETUAL HELP LYING- IN CLINIC,Private
SANTA CLARA BARANGAY HEALTH STATION,Government
TANDUNG AHAS BARANGAY HEALTH STATION,Government
UBIT BARANGAY HEALTH STATION,Government
ULAME BARANGAY HEALTH STATION,Government
BASAKAN BARANGAY HEALTH STATION,Government
HADJI MOHAMMAD AJUL RURAL HEALTH UNIT,Government
LANGIL BARANGAY HEALTH STATION,Government
PINTASAN BARANGAY HEALTH STATION,Government
SERONGGON BARANGAY HEALTH STATION,Government
TUBURAN PROPER BARANGAY HEALTH STATION,Government
HADJI MUHTAMAD RURAL HEALTH UNIT,Government
HADJI MUHTAMMAD RURAL HEALTH UNIT BIRTHING HOME,Government
BULAN-BULAN BARANGAY HEALTH STATION,Government
BULANZA BARANGAY HEALTH STATION,Government
CALAYAN BARANGAY HEALTH STATION,Government
CANIBUNGAN BARANGAY HEALTH STATION,Government
LANTAWAN RURAL HEALTH UNIT,Government
MATARLING HEALTH CENTER,Government
MATARLING RURAL HEALTH UNIT BIRTHING HOME,Government
PARIAN BAUNOH BARANGAY HEALTH STATION,Government
SWITCH YAKAL BARANGAY HEALTH STATION,Government
TAIRAN HEALTH CENTER,Government
UPPER MANGGAS MATERNAL HOME,Government
BATUNGAL BARANGAY HEALTH STATION,Government
MALUSO RURAL HEALTH UNIT,Government
MALUSO RURAL HEALTH UNIT BIRTHING HOME,Government
SAMAL VILLAGE BARANGAY HEALTH STATION,Government
TOWNSITE BARANGAY HEALTH STATION,Government
BACUNG BARANGAY HEALTH STATION,Government
BASAK BARANGAY HEALTH STATION,Government
BULI-BULI BARANGAY HEALTH STATION,Government
ETTUB-ETTUB BARANGAY HEALTH STATION,Government
GUIONG BARANGAY HEALTH STATION,Government
KAUM-AIR BARANGAY HEALTH STATION,Government
LIBUG BARANGAY HEALTH STATION,Government
LUKKETON BARANGAY HEALTH STATION,Government
LUUK-BAIT BARANGAY HEALTH STATION,Government
MANGAL BARANGAY HEALTH STATION,Government
MEBAK BARANGAY HEALTH STATION,Government
SAHAYA BOHE BATO BARANGAY HEALTH STATION,Government
SAPAH BULAK BARANGAY HEALTH STATION,Government
SUMISIP CENTRAL BARANGAY HEALTH STATION,Government
SUMISIP DISTRICT HOSPITAL,Government
SUMISIP RURAL HEALTH UNIT,Government
SUMISIP RURAL HEALTH UNIT BIRTHING HOME,Government
TIKUS BARANGAY HEALTH STATION,Government
TONGSENGAL BARANGAY HEALTH STATION,Government
BOLOH-BOLOH BARANGAY HEALTH STATION,Government
BUKUT-UMUS BARANGAY HEALTH STATION,Government
SULLOH BARANGAY HEALTH STATION,Government
TABUAN-LASA RURAL HEALTH UNIT,Government
TUBUAN LASA RURAL HEALTH UNIT BIRTHING HOME,Government
BADJA HEALTH CENTER,Government
BOHE LEBBUNG BARANGAY HEALTH STATION,Government
LIMBU UPAS BARANGAY HEALTH STATION,Government
TIPO-TIPO MAIN HEALTH CENTER,Government
TIPO-TIPO MUNICIPAL HEALTH CENTER,Government
TUBURAN RURAL HEALTH UNIT,Government
TUBURAN RURAL HEALTH UNIT BIRTHING HOME,Government
UNGKAYA PUKAN RURAL HEALTH UNIT,Government
UNGKAYA PUKAN RURAL HEALTH UNIT BIRTHING HOME,Government
ACCUSAFE DIAGNOSTIC LABORATORY,Private
BAGUA I BARANGAY HEALTH STATION,Government
BAGUA II BARANGAY HEALTH STATION,Government
BAGUA III BARANGAY HEALTH STATION,Government
BAGUA LYING-IN CLINIC,Private
BAGUA MOTHER BARANGAY HEALTH STATION,Government
BANGSAMORO DOCTORS HOSPITAL,Private
BANGSAMORO DOCTORS HOSPITAL (COTABATO SPECIALIST HOSPITAL),Private
BARMM MINISTRY OF HEALTH,Government
BUNTIS BIRTHING HOME CLINIC,Private
CIRCLEMED DIAGNOSTIC CENTER,Private
COTABATO CITY BAI AYESHA GUIANI-ROSS BIRTHING CLINIC,Government
COTABATO CITY OFFICE ON HEALTH SERVICES BIRTHING CLINIC,Government
COTABATO CITY OFFICE ON HEALTH SERVICES BIRTHING CLINIC,Government
COTABATO CITY ST. EUGENE DE MAZENOD BIRTHING CLINIC,Government
"COTABATO DOCTORS' CLINIC, INC.",Private
"COTABATO EYE, EAR, NOSE, THROAT SPECIALISTS, (CENTS)",Private
COTABATO POLYMEDIC & DIAGNOSTIC CENTER INC.,Private
"COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION, INCORPORATED",Private
COTABATO REGIONAL & MEDICAL CENTER,Government
COTABATO REGIONAL AND MEDICAL CENTER,Government
COTABATO REGIONAL AND MEDICAL CENTER (CARTRIDGE - BASED PCR),Government
COTABATO REGIONAL AND MEDICAL CENTER (RT-PCR),Government
COTABATO REGIONAL MEDICAL CENTER (CRMC) BUCAS CENTER,Government
DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY,Private
"DAVAO SPECIALISTS CLINIC AND DIAGNOSTIC LABORATORY, INC.",Private
DOC SWEET'S MATERNAL CARE & LYING-IN CLINIC,Private
DPOCI BIRTHING HOME,Private
DR. MOHAMADSHAMIR ABPI TIANG AMBULATORY SURGICAL CLINIC,Private
EROS MEDICAL CLINIC,Private
"HEALTH CARE DIAGNOSTIC LABORATORIES, INC.",Private
"HEALTHCARE DIAGNOSTIC LABORATORIES, INC.",Private
"JAPAL J. GUIANI, JR. HEALTH AND BIRTHING CLINIC",Government
JL DIALMED TRADING CO.,Private
KALANGANAN I BARANGAY HEALTH STATION,Government
KALANGANAN II BARANGAY HEALTH STATION,Government
KALANGANAN MOTHER BARANGAY HEALTH STATION,Government
"MOTHER FRANCISCA BIRTHING HOME, INC.",Private
"NEPHROTECH DIALYSIS & DIAGNOSTIC CENTER, INC.",Private
"NOTRE DAME HOSPITAL AND SIENA COLLEGE OF COTABATO, INC.",Private
PHILIPPINE RED CROSS COTABATO CITY - MAGUINDANAO MOLECULAR LABORATORY,Private
PHILIPPINE RED CROSS-COTABATO  CHAPTER,Private
POBLACION I BARANGAY HEALTH STATION,Government
POBLACION II BARANGAY HEALTH STATION,Government
POBLACION IV BARANGAY HEALTH STATION,Government
POBLACION IX BARANGAY HEALTH STATION,Government
POBLACION MOTHER BARANGAY HEALTH STATION,Government
POBLACION V BARANGAY HEALTH STATION,Government
POBLACION VI BARANGAY HEALTH STATION,Government
POBLACION VII BARANGAY HEALTH STATION,Government
POBLACION VIII BARANGAY HEALTH STATION,Government
PROCARES DIAGNOSTICS LABORATORY,Private
ROSARY HEIGHTS I BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS II BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS III BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS IV BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS IX BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION A,Government
ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION B,Government
ROSARY HEIGHTS V BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS VI BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS VII BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS VIII BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS X BARANGAY HEALTH STATION A,Government
ROSARY HEIGHTS X BARANGAY HEALTH STATION B,Government
ROSARY HEIGHTS XI BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS XII BARANGAY HEALTH STATION,Government
ROSARY HEIGHTS XIII BARANGAY HEALTH STATION,Government
SOCCKSARGEN REGIONAL BLOOD CENTER,Government
TAMONTAKA I BARANGAY HEALTH STATION,Government
TAMONTAKA II BARANGAY HEALTH STATION,Government
TAMONTAKA III BARANGAY HEALTH STATION,Government
TAMONTAKA IV BARANGAY HEALTH STATION,Government
TAMONTAKA MOTHER BARANGAY HEALTH STATION,Government
